"","var_name","file_name","sensor_X","sensor_Y","lon_X","lat_X","lon_Y","lat_Y","dist","dist_limit","dateTime_X","dateTime_Y","diff_time","diff_time_limit","n","Slope","Slope_log","Bias","Error","RMSE","MSA","MAPE"
"1","RHOW","HYPERNETS_vs_S3A_vs_20240808T065700_RHOW.csv","Hyp","S3A",23.229217,36.074617,23.231971,36.079862,0.63,10,2024-08-08 04:57:00,2024-08-08 06:50:07,113,120,5,1.05,0.55,31.25,31.25,0.008083,0.007824,67.5
"2","RHOW","HYPERNETS_vs_S3A_vs_20240809T080000_RHOW.csv","Hyp","S3A",22.4008,36.014333,22.395764,36.019598,0.74,10,2024-08-09 06:00:00,2024-08-09 06:23:56,24,120,5,1.1,0.58,32.13,32.13,0.008521,0.008295,68.61
"3","RHOW","HYPERNETS_vs_S3A_vs_20240811T075200_RHOW.csv","Hyp","S3A",16.60795,36.0487,16.604413,36.056086,0.88,10,2024-08-11 05:52:00,2024-08-11 07:12:33,81,120,5,0.9,0.57,9.36,9.36,0.003908,0.003381,39.86
"4","RHOW","HYPERNETS_vs_S3A_vs_20240811T080300_RHOW.csv","Hyp","S3A",16.5912,36.049383,16.585811,36.056883,0.97,10,2024-08-11 06:03:00,2024-08-11 07:12:33,70,120,5,0.89,0.59,6.64,6.64,0.003345,0.002722,32.47
"5","RHOW","HYPERNETS_vs_S3A_vs_20240815T094500_RHOW.csv","Hyp","S3A",15.3838,38.53715,15.382093,38.543367,0.71,10,2024-08-15 07:45:00,2024-08-15 07:08:48,36,120,5,0.72,0.51,4.06,4.33,0.002558,0.00165,29.4
"6","RHOW","HYPERNETS_vs_S3B_vs_20240808T065700_RHOW.csv","Hyp","S3B",23.229217,36.074617,23.224508,36.081279,0.85,10,2024-08-08 04:57:00,2024-08-08 06:11:23,74,120,5,1.03,0.57,27.65,27.65,0.007219,0.007048,61.02
"7","RHOW","HYPERNETS_vs_S3B_vs_20240813T102100_RHOW.csv","Hyp","S3B",15.64745,36.85755,15.642944,36.865272,0.95,10,2024-08-13 08:21:00,2024-08-13 07:22:25,59,120,5,1.21,0.55,48.22,48.22,0.010812,0.0104,89.64
"8","RHOW","HYPERNETS_vs_S3B_vs_20240814T101100_RHOW.csv","Hyp","S3B",15.4845,37.581,15.478984,37.587673,0.89,10,2024-08-14 08:11:00,2024-08-14 06:56:14,75,120,5,0.9,0.65,4.08,4.08,0.002582,0.001903,24.64
"9","RHOW","HYPERNETS_vs_S3B_vs_20240814T102100_RHOW.csv","Hyp","S3B",15.48055,37.577767,15.477867,37.582513,0.58,10,2024-08-14 08:21:00,2024-08-14 06:56:14,85,120,5,0.9,0.64,3.68,3.68,0.002629,0.00192,25.67
"10","RHOW","HYPERNETS_vs_S3B_vs_20240814T103000_RHOW.csv","Hyp","S3B",15.48055,37.577767,15.477867,37.582513,0.58,10,2024-08-14 08:30:00,2024-08-14 06:56:14,94,120,5,0.9,0.65,3.63,3.63,0.00259599999999999,0.001871,25.13
"11","RHOW","TRIOS_vs_S3A_vs_20240808T065445_RHOW.csv","TRIOS","S3A",23.235899,36.072849,23.220302,36.082162,1.74,10,2024-08-08 04:54:45,2024-08-08 06:50:07,115,120,5,0.94,0.55,17.71,17.71,0.005585,0.005168,48.31
"12","RHOW","TRIOS_vs_S3A_vs_20240809T073934_RHOW.csv","TRIOS","S3A",22.400873,36.015972,22.395764,36.019598,0.61,10,2024-08-09 05:39:34,2024-08-09 06:23:56,44,120,5,1.03,0.58,24.25,24.25,0.00695,0.006683,57.25
"13","RHOW","TRIOS_vs_S3A_vs_20240815T094524_RHOW.csv","TRIOS","S3A",15.3841,38.537472,15.382093,38.543367,0.68,10,2024-08-15 07:45:24,2024-08-15 07:08:48,37,120,5,0.67,0.49,-1.72,6.23,0.002837,0.002046,31
"14","RHOW","TRIOS_vs_S3A_vs_20240818T092817_RHOW.csv","TRIOS","S3A",9.829262,41.043547,9.821636,41.049069,0.89,10,2024-08-18 07:28:17,2024-08-18 07:31:14,3,120,4,1.11,0.5,50.8,50.8,0.010409,0.010135,98.54
"15","RHOW","TRIOS_vs_S3B_vs_20240808T065445_RHOW.csv","TRIOS","S3B",23.235899,36.072849,23.216868,36.082168,2,10,2024-08-08 04:54:45,2024-08-08 06:11:23,77,120,5,0.92,0.57,13.81,13.81,0.004616,0.00425,42.11
"16","RHOW","TRIOS_vs_S3B_vs_20240813T080811_RHOW.csv","TRIOS","S3B",15.549608,36.816708,15.549124,36.82366,0.78,10,2024-08-13 06:08:11,2024-08-13 07:22:25,74,120,5,1.04,0.56,26.41,26.41,0.007606,0.007353,64.02
"17","RHOW","TRIOS_vs_S3B_vs_20240813T101805_RHOW.csv","TRIOS","S3B",15.646745,36.856725,15.642944,36.865272,1.01,10,2024-08-13 08:18:05,2024-08-13 07:22:25,56,120,5,1.01,0.53,25.27,25.27,0.007322,0.007035,66.96
"18","RHOW","TRIOS_vs_S3B_vs_20240813T112027_RHOW.csv","TRIOS","S3B",15.585597,36.938744,15.582316,36.942788,0.54,10,2024-08-13 09:20:27,2024-08-13 07:22:25,118,120,5,0.95,0.58,14.97,14.97,0.005269,0.004827,43.59
"19","RHOW","TRIOS_vs_S3B_vs_20240814T082814_RHOW.csv","TRIOS","S3B",15.474447,37.565813,15.476193,37.574772,1.01,10,2024-08-14 06:28:14,2024-08-14 06:56:14,28,120,5,1.07,0.7,21.25,21.25,0.005799,0.005672,39.79
"20","RHOW","TRIOS_vs_S3B_vs_20240814T084357_RHOW.csv","TRIOS","S3B",15.492497,37.586528,15.486967,37.599858,1.56,10,2024-08-14 06:43:57,2024-08-14 06:56:14,12,120,5,1.04,0.71,18.27,18.27,0.005081,0.00499,35.56
"21","RHOW","TRIOS_vs_S3B_vs_20240814T101309_RHOW.csv","TRIOS","S3B",15.48502,37.581365,15.478984,37.587673,0.88,10,2024-08-14 08:13:09,2024-08-14 06:56:14,77,120,5,0.93,0.61,9.06,9.06,0.003642,0.003278,37.91
"22","RHOW","TRIOS_vs_S3B_vs_20240814T102320_RHOW.csv","TRIOS","S3B",15.481237,37.578267,15.477867,37.582513,0.56,10,2024-08-14 08:23:20,2024-08-14 06:56:14,87,120,5,0.91,0.61,7.06,7.06,0.003299,0.002814,34.99
"23","RHOW","TRIOS_vs_S3B_vs_20240814T102828_RHOW.csv","TRIOS","S3B",15.479555,37.576855,15.477867,37.582513,0.65,10,2024-08-14 08:28:28,2024-08-14 06:56:14,92,120,5,0.91,0.6,7.04,7.04,0.003328,0.002824,36.36
"24","RHOW","TRIOS_vs_S3B_vs_20240814T103829_RHOW.csv","TRIOS","S3B",15.476803,37.575142,15.472134,37.580646,0.74,10,2024-08-14 08:38:29,2024-08-14 06:56:14,102,120,5,0.91,0.59,8.82,8.82,0.003766,0.003349,40
"25","RHOW","HYPERPRO_vs_S3A_vs_20240809T084500_RHOW.csv","HYPERPRO","S3A",22.4034,36.0082,22.395764,36.019598,1.44,40,2024-08-09 06:45:00,2024-08-09 06:23:56,21,240,5,0.95,0.6,14.91,14.91,0.005096,0.004899,43.31
"26","RHOW","HYPERPRO_vs_S3A_vs_20240811T094700_RHOW.csv","HYPERPRO","S3A",16.4892,36.0321,16.585811,36.056883,9.12,40,2024-08-11 07:47:00,2024-08-11 07:12:33,34,240,5,0.88,0.59,5.39,5.39,0.003236,0.002547,31.85
"27","RHOW","HYPERPRO_vs_S3A_vs_20240815T100000_RHOW.csv","HYPERPRO","S3A",15.3814,38.5357,15.382093,38.543367,0.86,40,2024-08-15 08:00:00,2024-08-15 07:08:48,51,240,5,0.64,0.52,-5.58,11.56,0.003344,0.002864,27.52
"28","RHOW","HYPERPRO_vs_S3B_vs_20240813T094900_RHOW.csv","HYPERPRO","S3B",15.6445,36.8538,15.582316,36.942788,11.35,40,2024-08-13 07:49:00,2024-08-13 07:22:25,27,240,5,0.93,0.57,14.72,14.72,0.005081,0.004752,45.18
"29","RHOW","HYPERPRO_vs_S3B_vs_20240814T101100_RHOW.csv","HYPERPRO","S3B",15.4855,37.5818,15.472134,37.580646,1.19,40,2024-08-14 08:11:00,2024-08-14 06:56:14,75,240,5,0.89,0.62,4.9,4.9,0.002948,0.002309,29.24
