sensor,day,time,date,dateTime,latitude,longitude
Hyp,20240809,083000,2024-08-09,2024-08-09T06:30:00Z,36.01006699999999,22.402182999999997
HYPERPRO,20240809,084500,2024-08-09,2024-08-09T06:45:00Z,36.0082,22.403399999999998
Hyp,20240809,090000,2024-08-09,2024-08-09T07:00:00Z,36.007133,22.403499999999998
Hyp,20240812,104500,2024-08-12,2024-08-12T08:45:00Z,36.57005,15.143232999999999
HYPERPRO,20240812,105300,2024-08-12,2024-08-12T08:53:00Z,36.56830000000001,15.139999999999999
Hyp,20240813,094000,2024-08-13,2024-08-13T07:40:00Z,36.852582999999996,15.64365
HYPERPRO,20240813,094900,2024-08-13,2024-08-13T07:49:00Z,36.85379999999999,15.644499999999999
Hyp,20240813,100100,2024-08-13,2024-08-13T08:01:00Z,36.854716999999994,15.645199999999999
Hyp,20240814,100000,2024-08-14,2024-08-14T08:00:00Z,37.586282999999995,15.49075
HYPERPRO,20240814,101100,2024-08-14,2024-08-14T08:11:00Z,37.581799999999994,15.485500000000002
Hyp,20240814,101100,2024-08-14,2024-08-14T08:11:00Z,37.580999999999996,15.4845
Hyp,20240814,102100,2024-08-14,2024-08-14T08:21:00Z,37.577766999999994,15.480550000000001
Hyp,20240815,094500,2024-08-15,2024-08-15T07:45:00Z,38.537150000000004,15.3838
HYPERPRO,20240815,100000,2024-08-15,2024-08-15T08:00:00Z,38.535700000000006,15.381400000000001
Hyp,20240808,065700,2024-08-08,2024-08-08T04:57:00Z,36.074616999999996,23.229217
TRIOS,20240808,065445,2024-08-08,2024-08-08T04:54:45Z,36.072849,23.235899
Hyp,20240809,073700,2024-08-09,2024-08-09T05:37:00Z,36.0163,22.401483
TRIOS,20240809,073934,2024-08-09,2024-08-09T05:39:34Z,36.015972000000005,22.400873
Hyp,20240809,074500,2024-08-09,2024-08-09T05:45:00Z,36.01495,22.400667
Hyp,20240809,093000,2024-08-09,2024-08-09T07:30:00Z,36.0155,22.385299999999997
TRIOS,20240809,093222,2024-08-09,2024-08-09T07:32:22Z,36.002848,22.405568999999996
Hyp,20240810,073600,2024-08-10,2024-08-10T05:36:00Z,35.983117,19.497817
TRIOS,20240810,073354,2024-08-10,2024-08-10T05:33:54Z,35.982668999999994,19.506292
Hyp,20240810,113000,2024-08-10,2024-08-10T09:30:00Z,35.909317,19.374117000000002
TRIOS,20240810,113703,2024-08-10,2024-08-10T09:37:03Z,35.909326,19.361476
Hyp,20240810,114500,2024-08-10,2024-08-10T09:45:00Z,35.9094,19.3462
TRIOS,20240810,114709,2024-08-10,2024-08-10T09:47:09Z,35.909440999999994,19.339481000000003
Hyp,20240810,120000,2024-08-10,2024-08-10T10:00:00Z,35.90995,19.312732999999998
TRIOS,20240810,120235,2024-08-10,2024-08-10T10:02:35Z,35.910015,19.306159
Hyp,20240810,123000,2024-08-10,2024-08-10T10:30:00Z,35.91068299999999,19.24585
TRIOS,20240810,122936,2024-08-10,2024-08-10T10:29:36Z,35.91064599999999,19.246183
Hyp,20240810,124500,2024-08-10,2024-08-10T10:45:00Z,35.911117,19.212332999999997
TRIOS,20240810,124602,2024-08-10,2024-08-10T10:46:02Z,35.91108699999999,19.210498
Hyp,20240810,131500,2024-08-10,2024-08-10T11:15:00Z,35.9121,19.134100000000004
TRIOS,20240810,131307,2024-08-10,2024-08-10T11:13:07Z,35.91197699999999,19.140775
Hyp,20240810,134500,2024-08-10,2024-08-10T11:45:00Z,35.913616999999995,19.061617
TRIOS,20240810,134426,2024-08-10,2024-08-10T11:44:26Z,35.913428999999994,19.065478
Hyp,20240810,144500,2024-08-10,2024-08-10T12:45:00Z,35.9153,18.922216999999996
TRIOS,20240810,144414,2024-08-10,2024-08-10T12:44:14Z,35.915265,18.923484
Hyp,20240810,151500,2024-08-10,2024-08-10T13:15:00Z,35.915282999999995,18.849783
TRIOS,20240810,150218,2024-08-10,2024-08-10T13:02:18Z,35.914998999999995,18.880058000000002
TRIOS,20240812,104536,2024-08-12,2024-08-12T08:45:36Z,36.570156000000004,15.143431
Hyp,20240812,113400,2024-08-12,2024-08-12T09:34:00Z,36.58408299999999,15.132283
TRIOS,20240812,113136,2024-08-12,2024-08-12T09:31:36Z,36.580312000000006,15.130457
Hyp,20240812,113700,2024-08-12,2024-08-12T09:37:00Z,36.588333000000006,15.134182999999998
TRIOS,20240812,113635,2024-08-12,2024-08-12T09:36:35Z,36.588713000000006,15.134279999999999
Hyp,20240812,114500,2024-08-12,2024-08-12T09:45:00Z,36.601033,15.140082999999999
TRIOS,20240812,114701,2024-08-12,2024-08-12T09:47:01Z,36.605829,15.142036000000001
Hyp,20240812,120000,2024-08-12,2024-08-12T10:00:00Z,36.62250000000001,15.1553
TRIOS,20240812,120232,2024-08-12,2024-08-12T10:02:32Z,36.624387,15.156697000000001
Hyp,20240813,080100,2024-08-13,2024-08-13T06:01:00Z,36.810317,15.532567
TRIOS,20240813,080249,2024-08-13,2024-08-13T06:02:49Z,36.812231,15.537604
Hyp,20240813,082000,2024-08-13,2024-08-13T06:20:00Z,36.825183,15.573633000000001
TRIOS,20240813,081814,2024-08-13,2024-08-13T06:18:14Z,36.822964,15.56705
Hyp,20240813,084000,2024-08-13,2024-08-13T06:40:00Z,36.839983,15.621016999999998
TRIOS,20240813,083924,2024-08-13,2024-08-13T06:39:24Z,36.839055,15.618001999999999
Hyp,20240813,093100,2024-08-13,2024-08-13T07:31:00Z,36.85099999999999,15.642916999999999
TRIOS,20240813,092834,2024-08-13,2024-08-13T07:28:34Z,36.851138,15.642878999999999
TRIOS,20240813,094919,2024-08-13,2024-08-13T07:49:19Z,36.85318399999999,15.644079999999999
TRIOS,20240813,100254,2024-08-13,2024-08-13T08:02:54Z,36.854769999999995,15.645167999999998
Hyp,20240813,102100,2024-08-13,2024-08-13T08:21:00Z,36.857549999999996,15.64745
TRIOS,20240813,101805,2024-08-13,2024-08-13T08:18:05Z,36.856725,15.646745
Hyp,20240813,141000,2024-08-13,2024-08-13T12:10:00Z,37.194283,15.337183
TRIOS,20240813,141327,2024-08-13,2024-08-13T12:13:27Z,37.19951800000001,15.331060999999998
Hyp,20240813,142000,2024-08-13,2024-08-13T12:20:00Z,37.2076,15.3218
TRIOS,20240813,142033,2024-08-13,2024-08-13T12:20:33Z,37.221465,15.305520000000001
Hyp,20240813,143000,2024-08-13,2024-08-13T12:30:00Z,37.220867,15.306400000000002
TRIOS,20240813,143209,2024-08-13,2024-08-13T12:32:09Z,37.223897,15.302865
Hyp,20240813,144100,2024-08-13,2024-08-13T12:41:00Z,37.23445,15.291433
TRIOS,20240813,144250,2024-08-13,2024-08-13T12:42:50Z,37.23791200000001,15.287427999999998
Hyp,20240813,151000,2024-08-13,2024-08-13T13:10:00Z,37.273666999999996,15.249216999999998
TRIOS,20240813,150820,2024-08-13,2024-08-13T13:08:20Z,37.27231500000001,15.251042
Hyp,20240814,071700,2024-08-14,2024-08-14T05:17:00Z,37.4719,15.386483000000002
TRIOS,20240814,070256,2024-08-14,2024-08-14T05:02:56Z,37.451155,15.365538000000003
Hyp,20240814,081100,2024-08-14,2024-08-14T06:11:00Z,37.544,15.455067000000001
TRIOS,20240814,081247,2024-08-14,2024-08-14T06:12:47Z,37.54511300000001,15.456053
Hyp,20240814,095000,2024-08-14,2024-08-14T07:50:00Z,37.58986699999999,15.494167
TRIOS,20240814,094857,2024-08-14,2024-08-14T07:48:57Z,37.59063200000001,15.494843
TRIOS,20240814,100247,2024-08-14,2024-08-14T08:02:47Z,37.584956999999996,15.489222
TRIOS,20240814,101309,2024-08-14,2024-08-14T08:13:09Z,37.581365,15.48502
TRIOS,20240814,102320,2024-08-14,2024-08-14T08:23:20Z,37.578267,15.481237
Hyp,20240814,103000,2024-08-14,2024-08-14T08:30:00Z,37.577766999999994,15.480550000000001
TRIOS,20240814,102828,2024-08-14,2024-08-14T08:28:28Z,37.576855,15.479555000000001
Hyp,20240814,114100,2024-08-14,2024-08-14T09:41:00Z,37.688733000000006,15.5009
TRIOS,20240814,114434,2024-08-14,2024-08-14T09:44:34Z,37.697373000000006,15.50315
Hyp,20240815,091000,2024-08-15,2024-08-15T07:10:00Z,38.539567,15.38855
TRIOS,20240815,090750,2024-08-15,2024-08-15T07:07:50Z,38.539622,15.389395
Hyp,20240815,092000,2024-08-15,2024-08-15T07:20:00Z,38.539233,15.3877
TRIOS,20240815,091800,2024-08-15,2024-08-15T07:18:00Z,38.539258000000004,15.387983
TRIOS,20240815,094524,2024-08-15,2024-08-15T07:45:24Z,38.537472,15.3841
Hyp,20240815,103000,2024-08-15,2024-08-15T08:30:00Z,38.533066999999996,15.376033000000001
TRIOS,20240815,102922,2024-08-15,2024-08-15T08:29:22Z,38.533955000000006,15.375050000000002
Hyp,20240815,104100,2024-08-15,2024-08-15T08:41:00Z,38.54425,15.366333000000001
TRIOS,20240815,103947,2024-08-15,2024-08-15T08:39:47Z,38.543917,15.366558000000001
Hyp,20240815,112000,2024-08-15,2024-08-15T09:20:00Z,38.580033,15.331249999999999
TRIOS,20240815,111757,2024-08-15,2024-08-15T09:17:57Z,38.577861999999996,15.333312999999999
Hyp,20240816,080100,2024-08-16,2024-08-16T06:01:00Z,39.23543300000001,13.74245
TRIOS,20240816,080237,2024-08-16,2024-08-16T06:02:37Z,39.236380000000004,13.738192999999997
Hyp,20240816,081000,2024-08-16,2024-08-16T06:10:00Z,39.239267,13.725667
TRIOS,20240816,080814,2024-08-16,2024-08-16T06:08:14Z,39.238135000000014,13.730184999999999
Hyp,20240816,082000,2024-08-16,2024-08-16T06:20:00Z,39.24175,13.714433
TRIOS,20240816,081850,2024-08-16,2024-08-16T06:18:50Z,39.241550000000004,13.715072
Hyp,20240816,083100,2024-08-16,2024-08-16T06:31:00Z,39.24550000000001,13.697633
TRIOS,20240816,082904,2024-08-16,2024-08-16T06:29:04Z,39.244917,13.700552
Hyp,20240816,085100,2024-08-16,2024-08-16T06:51:00Z,39.25166699999999,13.669567
TRIOS,20240816,084930,2024-08-16,2024-08-16T06:49:30Z,39.251326999999996,13.671038
Hyp,20240816,090000,2024-08-16,2024-08-16T07:00:00Z,39.253733000000004,13.656433000000002
TRIOS,20240816,090233,2024-08-16,2024-08-16T07:02:33Z,39.253595000000004,13.655680000000002
Hyp,20240816,092100,2024-08-16,2024-08-16T07:21:00Z,39.25445,13.652750000000001
TRIOS,20240816,092332,2024-08-16,2024-08-16T07:23:32Z,39.254302,13.651805
Hyp,20240816,093100,2024-08-16,2024-08-16T07:31:00Z,39.254583,13.6506
TRIOS,20240816,092851,2024-08-16,2024-08-16T07:28:51Z,39.254397,13.650927999999999
Hyp,20240817,090600,2024-08-17,2024-08-17T07:06:00Z,40.066233000000004,12.062133000000001
TRIOS,20240817,090753,2024-08-17,2024-08-17T07:07:53Z,40.066343,12.062365
Hyp,20240817,092100,2024-08-17,2024-08-17T07:21:00Z,40.066633,12.064400000000001
TRIOS,20240817,092328,2024-08-17,2024-08-17T07:23:28Z,40.066825,12.065817000000001
TRIOS,20240813,093857,2024-08-13,2024-08-13T07:38:57Z,36.852222999999995,15.643363999999998
Hyp,20240810,110400,2024-08-10,2024-08-10T09:04:00Z,35.909317,19.429983
Hyp,20240810,110900,2024-08-10,2024-08-10T09:09:00Z,35.90945,19.424367
Hyp,20240810,111800,2024-08-10,2024-08-10T09:18:00Z,35.909333000000004,19.402032999999996
Hyp,20240811,074900,2024-08-11,2024-08-11T05:49:00Z,36.048567,16.613517
Hyp,20240811,111600,2024-08-11,2024-08-11T09:16:00Z,36.04515000000001,16.4092
Hyp,20240813,132000,2024-08-13,2024-08-13T11:20:00Z,37.128400000000006,15.405917
Hyp,20240813,133000,2024-08-13,2024-08-13T11:30:00Z,37.143117000000004,15.392800000000001
Hyp,20240813,134000,2024-08-13,2024-08-13T11:40:00Z,37.15705,15.378417
Hyp,20240813,135100,2024-08-13,2024-08-13T11:51:00Z,37.170783,15.363683000000002
Hyp,20240814,123100,2024-08-14,2024-08-14T10:31:00Z,37.790367,15.527932999999999
Hyp,20240815,130000,2024-08-15,2024-08-15T11:00:00Z,38.660433000000005,15.2522
Hyp,20240815,132000,2024-08-15,2024-08-15T11:20:00Z,38.679866999999994,15.237566999999999
Hyp,20240815,133000,2024-08-15,2024-08-15T11:30:00Z,38.688100000000006,15.232866999999999
Hyp,20240815,134200,2024-08-15,2024-08-15T11:42:00Z,38.696783,15.2297
Hyp,20240815,140000,2024-08-15,2024-08-15T12:00:00Z,38.7143,15.224199999999998
Hyp,20240809,080000,2024-08-09,2024-08-09T06:00:00Z,36.014333,22.4008
Hyp,20240809,081500,2024-08-09,2024-08-09T06:15:00Z,36.011832999999996,22.4016
Hyp,20240809,082400,2024-08-09,2024-08-09T06:24:00Z,36.0111,22.401782999999998
Hyp,20240809,091500,2024-08-09,2024-08-09T07:15:00Z,36.0119,22.3931
HYPERPRO,20240811,094700,2024-08-11,2024-08-11T07:47:00Z,36.03210000000001,16.489199999999997
Hyp,20240811,075200,2024-08-11,2024-08-11T05:52:00Z,36.048700000000004,16.607950000000006
Hyp,20240811,080300,2024-08-11,2024-08-11T06:03:00Z,36.049383,16.5912
Hyp,20240811,091600,2024-08-11,2024-08-11T07:16:00Z,36.042300000000004,16.499767
Hyp,20240812,095200,2024-08-12,2024-08-12T07:52:00Z,36.586,15.165133
HYPERPRO,20240816,095800,2024-08-16,2024-08-16T07:58:00Z,39.255,13.6454
HYPERPRO,20240816,100500,2024-08-16,2024-08-16T08:05:00Z,39.254599999999996,13.644199999999998
Hyp,20240809,155000,2024-08-09,2024-08-09T13:50:00Z,36.0382,21.654567000000004
TRIOS,20240809,144936,2024-08-09,2024-08-09T12:49:36Z,36.037701,21.804951000000006
Hyp,20240809,161500,2024-08-09,2024-08-09T14:15:00Z,36.036617,21.598767
TRIOS,20240810,104548,2024-08-10,2024-08-10T08:45:48Z,35.913342,19.453936
Hyp,20240810,154500,2024-08-10,2024-08-10T13:45:00Z,35.915966999999995,18.777167000000002
Hyp,20240810,163100,2024-08-10,2024-08-10T14:31:00Z,35.920750000000005,18.665833
TRIOS,20240811,100927,2024-08-11,2024-08-11T08:09:27Z,36.025699,16.482825999999996
TRIOS,20240811,105307,2024-08-11,2024-08-11T08:53:07Z,36.035663,16.443555
TRIOS,20240812,101056,2024-08-12,2024-08-12T08:10:56Z,36.579708000000004,15.158377999999997
TRIOS,20240813,094412,2024-08-13,2024-08-13T07:44:12Z,36.85266099999999,15.643650999999998
TRIOS,20240814,115503,2024-08-14,2024-08-14T09:55:03Z,37.71812800000001,15.509195
TRIOS,20240815,115408,2024-08-15,2024-08-15T09:54:08Z,38.608387,15.302222
TRIOS,20240816,095421,2024-08-16,2024-08-16T07:54:21Z,39.25555500000001,13.646032
TRIOS,20240816,100957,2024-08-16,2024-08-16T08:09:57Z,39.254345,13.643632
Hyp,20240817,113100,2024-08-17,2024-08-17T09:31:00Z,40.122617000000005,11.950750000000001
TRIOS,20240817,110201,2024-08-17,2024-08-17T09:02:01Z,40.10178,12.001615
Hyp,20240817,114100,2024-08-17,2024-08-17T09:41:00Z,40.130783,11.929683
Hyp,20240817,115100,2024-08-17,2024-08-17T09:51:00Z,40.136883,11.91385
Hyp,20240817,122100,2024-08-17,2024-08-17T10:21:00Z,40.15688299999999,11.86095
Hyp,20240817,123100,2024-08-17,2024-08-17T10:31:00Z,40.164683,11.839683
TRIOS,20240817,135442,2024-08-17,2024-08-17T11:54:42Z,40.231065,11.687622999999999
Hyp,20240817,125100,2024-08-17,2024-08-17T10:51:00Z,40.178817,11.802617000000001
Hyp,20240817,130100,2024-08-17,2024-08-17T11:01:00Z,40.187733,11.782083
Hyp,20240817,131100,2024-08-17,2024-08-17T11:11:00Z,40.194767,11.766933
Hyp,20240817,132100,2024-08-17,2024-08-17T11:21:00Z,40.204117000000004,11.746732999999999
TRIOS,20240810,124104,2024-08-10,2024-08-10T10:41:04Z,35.910821999999996,19.222371999999996
TRIOS,20240810,132916,2024-08-10,2024-08-10T11:29:16Z,35.912473999999996,19.103294000000002
TRIOS,20240810,142820,2024-08-10,2024-08-10T12:28:20Z,35.915299,18.960660999999998
TRIOS,20240811,121922,2024-08-11,2024-08-11T10:19:22Z,36.067488,16.292493999999998
TRIOS,20240811,131815,2024-08-11,2024-08-11T11:18:15Z,36.085693,16.199793
TRIOS,20240811,142904,2024-08-11,2024-08-11T12:29:04Z,36.078449,16.176034
TRIOS,20240813,111027,2024-08-13,2024-08-13T09:10:27Z,36.923126,15.598116999999998
TRIOS,20240813,112027,2024-08-13,2024-08-13T09:20:27Z,36.938744,15.585597000000002
TRIOS,20240814,103829,2024-08-14,2024-08-14T08:38:29Z,37.57514200000001,15.476803
TRIOS,20240814,112844,2024-08-14,2024-08-14T09:28:44Z,37.665803000000004,15.49475
TRIOS,20240815,110740,2024-08-15,2024-08-15T09:07:40Z,38.56888,15.342067
TRIOS,20240809,094523,2024-08-09,2024-08-09T07:45:23Z,36.005686999999995,22.406063
TRIOS,20240812,112613,2024-08-12,2024-08-12T09:26:13Z,36.571358000000004,15.126526
TRIOS,20240812,121332,2024-08-12,2024-08-12T10:13:32Z,36.643068,15.160808
TRIOS,20240813,080811,2024-08-13,2024-08-13T06:08:11Z,36.816708,15.549608
TRIOS,20240813,082846,2024-08-13,2024-08-13T06:28:46Z,36.831516,15.593986000000001
TRIOS,20240813,085527,2024-08-13,2024-08-13T06:55:27Z,36.84702899999999,15.641881999999999
TRIOS,20240813,091810,2024-08-13,2024-08-13T07:18:10Z,36.84969399999999,15.642535
TRIOS,20240813,102853,2024-08-13,2024-08-13T08:28:53Z,36.858453,15.648157999999997
TRIOS,20240814,082814,2024-08-14,2024-08-14T06:28:14Z,37.565813000000006,15.474447000000001
TRIOS,20240814,083844,2024-08-14,2024-08-14T06:38:44Z,37.579648,15.486523
TRIOS,20240814,084357,2024-08-14,2024-08-14T06:43:57Z,37.586528,15.492497000000002
TRIOS,20240816,110752,2024-08-16,2024-08-16T09:07:52Z,39.26936200000001,13.600362999999998
TRIOS,20240809,112037,2024-08-09,2024-08-09T09:20:37Z,36.032494,22.263329999999996
TRIOS,20240813,112547,2024-08-13,2024-08-13T09:25:47Z,36.94705,15.5784
TRIOS,20240818,073714,2024-08-18,2024-08-18T05:37:14Z,41.033677,9.836422
TRIOS,20240818,092817,2024-08-18,2024-08-18T07:28:17Z,41.043547,9.829262
TRIOS,20240811,125531,2024-08-11,2024-08-11T10:55:31Z,36.08080699999999,16.228385
TRIOS,20240810,104051,2024-08-10,2024-08-10T08:40:51Z,35.915479999999995,19.45358
TRIOS,20240810,122330,2024-08-10,2024-08-10T10:23:30Z,35.910552,19.260955000000003
TRIOS,20240811,101955,2024-08-11,2024-08-11T08:19:55Z,36.022641,16.479615
TRIOS,20240814,110745,2024-08-14,2024-08-14T09:07:45Z,37.62317000000001,15.484478
TRIOS,20240811,104759,2024-08-11,2024-08-11T08:47:59Z,36.032326000000005,16.449817
TRIOS,20240811,122927,2024-08-11,2024-08-11T10:29:27Z,36.070651,16.275639999999996
TRIOS,20240812,103643,2024-08-12,2024-08-12T08:36:43Z,36.572275000000005,15.147359999999997
TRIOS,20240812,120825,2024-08-12,2024-08-12T10:08:25Z,36.637009,15.160630000000001
