var_name,sensor_X,sensor_Y,wavelength,n_w_nm_clean,Slope_II_CI,Slope_II_slope_bias_sig,Bias_50,Error_50,MRD_50,MARD_50
ED,HYPERNETS,HYPERPRO,380,9,0.74±0.55,FALSE,-7.8815,7.8815,-0.073057,0.073057
ED,HYPERNETS,HYPERPRO,400,9,0.68±0.48,FALSE,-16.2039,16.2039,-0.139443,0.139443
ED,HYPERNETS,HYPERPRO,412,9,0.66±0.46,FALSE,-7.1032,7.1032,-0.066321,0.066321
ED,HYPERNETS,HYPERPRO,443,9,0.69±0.49,FALSE,-4.5987,4.7334,-0.043965,0.045195
ED,HYPERNETS,HYPERPRO,490,9,0.70±0.53,FALSE,-2.2856,2.3825,-0.022345,0.023271
ED,HYPERNETS,HYPERPRO,510,9,0.70±0.53,FALSE,-2.7797,3.2797,-0.027045,0.031756
ED,HYPERNETS,HYPERPRO,560,9,0.72±0.55,FALSE,1.0917,1.6267,0.010917,0.016007
ED,HYPERNETS,HYPERPRO,620,9,0.71±0.54,FALSE,0.4553,1.8257,0.004553,0.018237
ED,HYPERNETS,HYPERPRO,673,9,0.74±0.57,FALSE,2.0941,2.0941,0.020941,0.020941
ED,HYPERNETS,HYPERPRO,700,9,0.66±0.49,FALSE,3.3023,3.3023,0.033023,0.033023
ED,HYPERNETS,TRIOS,380,53,0.96±0.04,TRUE,-1.76,3.0565,-0.017296,0.029659
ED,HYPERNETS,TRIOS,400,53,0.84±0.03,TRUE,-15.462,15.462,-0.133914,0.133914
ED,HYPERNETS,TRIOS,412,53,0.94±0.04,TRUE,-2.7423,3.6908,-0.026691,0.036556
ED,HYPERNETS,TRIOS,443,53,0.94±0.04,TRUE,-2.1741,3.9877,-0.021278,0.038984
ED,HYPERNETS,TRIOS,490,53,0.96±0.04,FALSE,-0.1951,2.5652,-0.001947,0.025652
ED,HYPERNETS,TRIOS,510,53,0.95±0.04,TRUE,-1.889,3.7338,-0.018539,0.036807
ED,HYPERNETS,TRIOS,560,53,0.98±0.04,FALSE,1.4372,2.37,0.014372,0.023407
ED,HYPERNETS,TRIOS,620,53,0.97±0.04,FALSE,1.2449,2.08,0.012449,0.0208
ED,HYPERNETS,TRIOS,673,53,0.99±0.05,FALSE,2.5925,2.7663,0.025925,0.027569
ED,HYPERNETS,TRIOS,700,53,0.99±0.04,FALSE,3.8949,3.8949,0.038949,0.038949
ED,HYPERPRO,HYPERNETS,380,9,1.36±1.01,FALSE,7.8815,7.8815,0.078815,0.078815
ED,HYPERPRO,HYPERNETS,400,9,1.48±1.05,FALSE,16.2039,16.2039,0.162039,0.162039
ED,HYPERPRO,HYPERNETS,412,9,1.51±1.06,FALSE,7.1032,7.1032,0.071032,0.071032
ED,HYPERPRO,HYPERNETS,443,9,1.46±1.05,FALSE,4.5987,4.7334,0.045987,0.046499
ED,HYPERPRO,HYPERNETS,490,9,1.43±1.07,FALSE,2.2856,2.3825,0.022856,0.023825
ED,HYPERPRO,HYPERNETS,510,9,1.42±1.08,FALSE,2.7797,3.2797,0.027797,0.032797
ED,HYPERPRO,HYPERNETS,560,9,1.38±1.05,FALSE,-1.0917,1.6267,-0.010799,0.016267
ED,HYPERPRO,HYPERNETS,620,9,1.41±1.08,FALSE,-0.4553,1.8257,-0.004532,0.018257
ED,HYPERPRO,HYPERNETS,673,9,1.36±1.05,FALSE,-2.0941,2.0941,-0.020512,0.020512
ED,HYPERPRO,HYPERNETS,700,9,1.51±1.12,FALSE,-3.3023,3.3023,-0.031967,0.031967
ED,HYPERPRO,TRIOS,380,7,0.97±0.50,FALSE,6.7553,6.7553,0.067553,0.067553
ED,HYPERPRO,TRIOS,400,7,0.96±0.53,FALSE,1.5075,1.5075,0.015075,0.015075
ED,HYPERPRO,TRIOS,412,7,1.00±0.58,FALSE,4.2712,4.2712,0.042712,0.042712
ED,HYPERPRO,TRIOS,443,7,0.98±0.60,FALSE,2.8286,2.8286,0.028286,0.028286
ED,HYPERPRO,TRIOS,490,7,0.93±0.60,FALSE,2.4976,2.4976,0.024976,0.024976
ED,HYPERPRO,TRIOS,510,7,0.93±0.61,FALSE,1.6672,1.6672,0.016672,0.016672
ED,HYPERPRO,TRIOS,560,7,0.88±0.59,FALSE,1.4444,1.4444,0.014444,0.014444
ED,HYPERPRO,TRIOS,620,7,0.85±0.59,FALSE,1.6253,1.6253,0.016253,0.016253
ED,HYPERPRO,TRIOS,673,7,0.78±0.55,FALSE,1.612,1.612,0.01612,0.01612
ED,HYPERPRO,TRIOS,700,7,0.95±0.70,FALSE,1.5571,1.5571,0.015571,0.015571
ED,TRIOS,HYPERNETS,380,53,1.05±0.04,TRUE,1.76,3.0565,0.0176,0.030565
ED,TRIOS,HYPERNETS,400,53,1.19±0.05,TRUE,15.462,15.462,0.15462,0.15462
ED,TRIOS,HYPERNETS,412,53,1.06±0.04,TRUE,2.7423,3.6908,0.027423,0.036908
ED,TRIOS,HYPERNETS,443,53,1.06±0.04,TRUE,2.1741,3.9877,0.021741,0.039275
ED,TRIOS,HYPERNETS,490,53,1.04±0.05,FALSE,0.1951,2.5652,0.001951,0.025242
ED,TRIOS,HYPERNETS,510,53,1.06±0.05,TRUE,1.889,3.7338,0.01889,0.037338
ED,TRIOS,HYPERNETS,560,53,1.02±0.05,FALSE,-1.4372,2.37,-0.014169,0.023163
ED,TRIOS,HYPERNETS,620,53,1.03±0.05,FALSE,-1.2449,2.08,-0.012296,0.020376
ED,TRIOS,HYPERNETS,673,53,1.01±0.05,FALSE,-2.5925,2.7663,-0.02527,0.026919
ED,TRIOS,HYPERNETS,700,53,1.01±0.04,FALSE,-3.8949,3.8949,-0.037488,0.037488
ED,TRIOS,HYPERPRO,380,7,1.03±0.53,FALSE,-6.7553,6.7553,-0.063278,0.063278
ED,TRIOS,HYPERPRO,400,7,1.04±0.58,FALSE,-1.5075,1.5075,-0.014851,0.014851
ED,TRIOS,HYPERPRO,412,7,1.00±0.58,FALSE,-4.2712,4.2712,-0.040962,0.040962
ED,TRIOS,HYPERPRO,443,7,1.02±0.63,FALSE,-2.8286,2.8286,-0.027508,0.027508
ED,TRIOS,HYPERPRO,490,7,1.08±0.70,FALSE,-2.4976,2.4976,-0.024368,0.024368
ED,TRIOS,HYPERPRO,510,7,1.08±0.72,FALSE,-1.6672,1.6672,-0.016398,0.016398
ED,TRIOS,HYPERPRO,560,7,1.14±0.77,FALSE,-1.4444,1.4444,-0.014239,0.014239
ED,TRIOS,HYPERPRO,620,7,1.18±0.81,FALSE,-1.6253,1.6253,-0.015993,0.015993
ED,TRIOS,HYPERPRO,673,7,1.27±0.90,FALSE,-1.612,1.612,-0.015864,0.015864
ED,TRIOS,HYPERPRO,700,7,1.05±0.77,FALSE,-1.5571,1.5571,-0.015332,0.015332
LD,HYPERNETS,TRIOS,380,34,1.16±0.23,FALSE,-1.0286,7.7364,-0.010125,0.074049
LD,HYPERNETS,TRIOS,400,34,0.94±0.17,FALSE,-19.979,19.979,-0.166419,0.166419
LD,HYPERNETS,TRIOS,412,34,1.01±0.18,FALSE,-7.6714,12.2112,-0.071187,0.108823
LD,HYPERNETS,TRIOS,443,34,0.97±0.15,FALSE,-9.5534,14.5522,-0.087094,0.13346
LD,HYPERNETS,TRIOS,490,34,0.95±0.12,FALSE,-11.2476,16.854,-0.100987,0.151948
LD,HYPERNETS,TRIOS,510,34,0.94±0.11,FALSE,-13.479,17.5867,-0.118656,0.153814
LD,HYPERNETS,TRIOS,560,34,0.95±0.10,FALSE,-10.9037,19.0186,-0.098229,0.159793
LD,HYPERNETS,TRIOS,620,34,0.93±0.08,FALSE,-9.7031,19.5431,-0.088443,0.164428
LD,HYPERNETS,TRIOS,673,34,0.94±0.08,FALSE,-8.0008,19.1266,-0.07408,0.168961
LD,HYPERNETS,TRIOS,700,34,0.97±0.08,FALSE,-5.9981,19.3706,-0.056582,0.162694
LD,TRIOS,HYPERNETS,380,34,0.86±0.17,FALSE,1.0286,7.7364,0.010342,0.075357
LD,TRIOS,HYPERNETS,400,34,1.07±0.19,FALSE,19.979,19.979,0.199936,0.199936
LD,TRIOS,HYPERNETS,412,34,0.99±0.17,FALSE,7.6714,12.2112,0.076785,0.121409
LD,TRIOS,HYPERNETS,443,34,1.03±0.16,FALSE,9.5534,14.5522,0.095665,0.1372
LD,TRIOS,HYPERNETS,490,34,1.05±0.13,FALSE,11.2476,16.854,0.112621,0.157642
LD,TRIOS,HYPERNETS,510,34,1.07±0.13,FALSE,13.479,17.5867,0.13495,0.161928
LD,TRIOS,HYPERNETS,560,34,1.05±0.11,FALSE,10.9037,19.0186,0.109145,0.17591
LD,TRIOS,HYPERNETS,620,34,1.07±0.09,FALSE,9.7031,19.5431,0.097037,0.185865
LD,TRIOS,HYPERNETS,673,34,1.06±0.09,FALSE,8.0008,19.1266,0.080009,0.178908
LD,TRIOS,HYPERNETS,700,34,1.04±0.09,FALSE,5.9981,19.3706,0.059986,0.174465
LU,HYPERNETS,TRIOS,380,46,1.00±0.09,FALSE,8.0264,8.1602,0.080264,0.081602
LU,HYPERNETS,TRIOS,400,46,0.84±0.08,TRUE,-10.5159,10.7993,-0.095153,0.097466
LU,HYPERNETS,TRIOS,412,46,0.93±0.08,FALSE,1.1375,2.958,0.011375,0.02873
LU,HYPERNETS,TRIOS,443,46,0.92±0.09,FALSE,2.4137,3.7933,0.024137,0.03795
LU,HYPERNETS,TRIOS,490,46,0.87±0.10,TRUE,1.9449,3.3247,0.01945,0.032747
LU,HYPERNETS,TRIOS,510,46,0.81±0.11,TRUE,2.3722,5.5183,0.023724,0.055183
LU,HYPERNETS,TRIOS,560,46,0.81±0.12,TRUE,-2.0961,8.4839,-0.020528,0.082319
LU,HYPERNETS,TRIOS,620,46,0.82±0.13,TRUE,-7.5048,16.95,-0.069803,0.147116
LU,HYPERNETS,TRIOS,673,46,0.84±0.13,TRUE,-6.4656,20.1071,-0.060723,0.197904
LU,HYPERNETS,TRIOS,700,46,0.85±0.13,TRUE,-2.0095,29.3783,-0.019682,0.268676
LU,TRIOS,HYPERNETS,380,46,1.00±0.09,FALSE,-8.0264,8.1602,-0.0743,0.075445
LU,TRIOS,HYPERNETS,400,46,1.19±0.11,TRUE,10.5159,10.7993,0.10516,0.107994
LU,TRIOS,HYPERNETS,412,46,1.07±0.10,FALSE,-1.1375,2.958,-0.011247,0.02958
LU,TRIOS,HYPERNETS,443,46,1.09±0.11,FALSE,-2.4137,3.7933,-0.023568,0.036531
LU,TRIOS,HYPERNETS,490,46,1.16±0.13,TRUE,-1.9449,3.3247,-0.019078,0.032677
LU,TRIOS,HYPERNETS,510,46,1.23±0.16,TRUE,-2.3722,5.5183,-0.023171,0.052297
LU,TRIOS,HYPERNETS,560,46,1.23±0.18,TRUE,2.0961,8.4839,0.020963,0.080338
LU,TRIOS,HYPERNETS,620,46,1.21±0.19,TRUE,7.5048,16.95,0.075054,0.15556
LU,TRIOS,HYPERNETS,673,46,1.19±0.19,TRUE,6.4656,20.1071,0.064663,0.16792
LU,TRIOS,HYPERNETS,700,46,1.18±0.19,TRUE,2.0095,29.3783,0.020113,0.227072
LW,HYPERNETS,HYPERPRO,380,8,0.57±0.30,TRUE,13.2931,13.2931,0.133017,0.133017
LW,HYPERNETS,HYPERPRO,400,8,0.52±0.28,TRUE,-3.0181,10.5318,-0.029291,0.094967
LW,HYPERNETS,HYPERPRO,412,8,0.58±0.32,TRUE,3.6597,9.5943,0.036597,0.092118
LW,HYPERNETS,HYPERPRO,443,8,0.54±0.32,TRUE,5.4602,9.1986,0.054604,0.08675
LW,HYPERNETS,HYPERPRO,490,8,0.34±0.21,TRUE,2.4702,9.9976,0.024706,0.094053
LW,HYPERNETS,HYPERPRO,510,8,0.19±0.10,TRUE,10.3658,12.4567,0.10369,0.120558
LW,HYPERNETS,HYPERPRO,560,8,0.13±0.10,TRUE,8.7752,14.1484,0.088085,0.139895
LW,HYPERNETS,HYPERPRO,620,8,0.03±0.02,TRUE,-52.262,52.262,-0.337258,0.342702
LW,HYPERNETS,HYPERPRO,673,8,-0.04±0.04,TRUE,-139.2714,139.2714,-0.578816,0.578816
LW,HYPERNETS,HYPERPRO,700,8,-0.04±0.03,TRUE,-233.9166,233.9166,-0.698115,0.698115
LW,HYPERNETS,TRIOS,380,39,0.80±0.11,TRUE,-0.9139,7.374,-0.009056,0.07374
LW,HYPERNETS,TRIOS,400,39,0.67±0.09,TRUE,-20.4525,20.4525,-0.169797,0.169797
LW,HYPERNETS,TRIOS,412,39,0.74±0.10,TRUE,-7.3798,10.2746,-0.068727,0.093173
LW,HYPERNETS,TRIOS,443,39,0.70±0.10,TRUE,-6.4255,9.8466,-0.060376,0.08964
LW,HYPERNETS,TRIOS,490,39,0.58±0.09,TRUE,-10.0892,14.5424,-0.091646,0.126961
LW,HYPERNETS,TRIOS,510,39,0.41±0.09,TRUE,-10.8497,17.3211,-0.097878,0.160573
LW,HYPERNETS,TRIOS,560,39,0.21±0.05,TRUE,-48.8068,48.8068,-0.327988,0.327988
LW,HYPERNETS,TRIOS,620,39,0.10±0.02,TRUE,-424.1041,424.1041,-0.809198,0.809198
LW,HYPERNETS,TRIOS,673,39,0.08±0.02,TRUE,-877.4933,877.4933,-0.897698,0.899281
LW,HYPERNETS,TRIOS,700,39,0.07±0.02,TRUE,-1010.7839,1058.1525,-0.909973,0.92026
LW,HYPERPRO,HYPERNETS,380,8,1.75±0.93,TRUE,-13.2931,13.2931,-0.117266,0.117266
LW,HYPERPRO,HYPERNETS,400,8,1.94±1.07,TRUE,3.0181,10.5318,0.030188,0.102995
LW,HYPERPRO,HYPERNETS,412,8,1.74±0.95,TRUE,-3.6597,9.5943,-0.035304,0.09137
LW,HYPERPRO,HYPERNETS,443,8,1.85±1.08,TRUE,-5.4602,9.1986,-0.051774,0.086925
LW,HYPERPRO,HYPERNETS,490,8,2.98±1.86,TRUE,-2.4702,9.9976,-0.024103,0.096832
LW,HYPERPRO,HYPERNETS,510,8,5.33±2.75,TRUE,-10.3658,12.4567,-0.093896,0.117204
LW,HYPERPRO,HYPERNETS,560,8,7.66±5.83,TRUE,-8.7752,14.1484,-0.080392,0.123782
LW,HYPERPRO,HYPERNETS,620,8,39.35±36.09,TRUE,52.262,52.262,0.536482,0.536482
LW,HYPERPRO,HYPERNETS,673,8,-25.50±23.50,TRUE,139.2714,139.2714,1.411311,1.411311
LW,HYPERPRO,HYPERNETS,700,8,-25.55±20.86,TRUE,233.9166,233.9166,2.366028,2.366028
LW,HYPERPRO,TRIOS,380,7,1.20±0.25,FALSE,-0.8712,1.7311,-0.008637,0.017016
LW,HYPERPRO,TRIOS,400,7,1.14±0.23,FALSE,-4.3239,4.3239,-0.041447,0.041447
LW,HYPERPRO,TRIOS,412,7,1.18±0.23,FALSE,-0.6276,1.4007,-0.006237,0.014007
LW,HYPERPRO,TRIOS,443,7,1.18±0.28,FALSE,-1.3868,1.3868,-0.013678,0.013678
LW,HYPERPRO,TRIOS,490,7,1.27±0.68,FALSE,0.2912,1.7757,0.002912,0.017757
LW,HYPERPRO,TRIOS,510,7,1.25±1.27,FALSE,-3.8835,3.8835,-0.037383,0.037383
LW,HYPERPRO,TRIOS,560,7,0.69±0.76,FALSE,-15.5813,15.5813,-0.134808,0.134808
LW,HYPERPRO,TRIOS,620,7,-2.31±2.62,TRUE,-144.5867,144.5867,-0.591147,0.591147
LW,HYPERPRO,TRIOS,673,7,-1.60±1.84,TRUE,-213.6432,213.6432,-0.681166,0.681166
LW,HYPERPRO,TRIOS,700,7,-1.89±2.10,TRUE,-179.0526,179.0526,-0.641645,0.641645
LW,TRIOS,HYPERNETS,380,39,1.25±0.18,TRUE,0.9139,7.374,0.009139,0.072441
LW,TRIOS,HYPERNETS,400,39,1.49±0.21,TRUE,20.4525,20.4525,0.204525,0.204525
LW,TRIOS,HYPERNETS,412,39,1.35±0.18,TRUE,7.3798,10.2746,0.073798,0.102746
LW,TRIOS,HYPERNETS,443,39,1.43±0.20,TRUE,6.4255,9.8466,0.064255,0.095683
LW,TRIOS,HYPERNETS,490,39,1.73±0.27,TRUE,10.0892,14.5424,0.100892,0.13327
LW,TRIOS,HYPERNETS,510,39,2.41±0.50,TRUE,10.8497,17.3211,0.108497,0.163631
LW,TRIOS,HYPERNETS,560,39,4.73±1.07,TRUE,48.8068,48.8068,0.488068,0.488068
LW,TRIOS,HYPERNETS,620,39,10.27±2.47,TRUE,424.1041,424.1041,4.241041,4.241041
LW,TRIOS,HYPERNETS,673,39,12.27±3.08,TRUE,877.4933,877.4933,8.774933,8.774933
LW,TRIOS,HYPERNETS,700,39,14.22±3.76,TRUE,1010.7839,1058.1525,10.107839,10.107839
LW,TRIOS,HYPERPRO,380,7,0.83±0.17,FALSE,0.8712,1.7311,0.008712,0.017311
LW,TRIOS,HYPERPRO,400,7,0.88±0.18,FALSE,4.3239,4.3239,0.043239,0.043239
LW,TRIOS,HYPERPRO,412,7,0.85±0.17,FALSE,0.6276,1.4007,0.006276,0.013813
LW,TRIOS,HYPERPRO,443,7,0.85±0.20,FALSE,1.3868,1.3868,0.013868,0.013868
LW,TRIOS,HYPERPRO,490,7,0.79±0.42,FALSE,-0.2912,1.7757,-0.002904,0.017448
LW,TRIOS,HYPERPRO,510,7,0.80±0.82,FALSE,3.8835,3.8835,0.038835,0.038835
LW,TRIOS,HYPERPRO,560,7,1.45±1.59,FALSE,15.5813,15.5813,0.155813,0.155813
LW,TRIOS,HYPERPRO,620,7,-0.43±0.49,TRUE,144.5867,144.5867,1.445867,1.445867
LW,TRIOS,HYPERPRO,673,7,-0.62±0.72,TRUE,213.6432,213.6432,2.136432,2.136432
LW,TRIOS,HYPERPRO,700,7,-0.53±0.59,TRUE,179.0526,179.0526,1.790526,1.790526
RHOW,HYPERNETS,AQUA,412,28,1.89±0.36,TRUE,-9.5166,11.2426,-0.086895,0.106254
RHOW,HYPERNETS,AQUA,443,29,1.71±0.36,TRUE,-15.0774,15.0774,-0.131019,0.131019
RHOW,HYPERNETS,AQUA,469,29,1.67±0.43,TRUE,-15.023,15.023,-0.130608,0.130608
RHOW,HYPERNETS,AQUA,488,29,1.61±0.47,TRUE,-18.6763,18.6763,-0.157372,0.157372
RHOW,HYPERNETS,AQUA,531,29,1.06±0.39,FALSE,-45.1139,45.1139,-0.310886,0.310886
RHOW,HYPERNETS,AQUA,547,29,0.92±0.35,FALSE,-43.544,43.544,-0.303349,0.303349
RHOW,HYPERNETS,AQUA,645,13,-0.27±0.14,TRUE,-146.8927,146.8927,-0.594966,0.594966
RHOW,HYPERNETS,AQUA,667,14,-0.24±0.14,TRUE,-158.0054,158.0054,-0.61236,0.61236
RHOW,HYPERNETS,HYPERPRO,380,11,0.80±0.35,FALSE,21.5912,21.5912,0.215912,0.215912
RHOW,HYPERNETS,HYPERPRO,400,11,0.77±0.32,FALSE,13.4204,13.4204,0.134204,0.134204
RHOW,HYPERNETS,HYPERPRO,412,11,0.77±0.30,FALSE,12.0266,12.0266,0.120266,0.120266
RHOW,HYPERNETS,HYPERPRO,443,11,0.75±0.31,FALSE,10.827,10.827,0.10827,0.10827
RHOW,HYPERNETS,HYPERPRO,490,11,0.40±0.20,TRUE,8.5635,8.5635,0.085635,0.085635
RHOW,HYPERNETS,HYPERPRO,510,11,0.14±0.06,TRUE,15.5182,15.5182,0.155182,0.155182
RHOW,HYPERNETS,HYPERPRO,560,11,0.27±0.11,TRUE,13.1028,13.1028,0.131028,0.131028
RHOW,HYPERNETS,HYPERPRO,620,11, NA± NA,NA,19.781,31.5879,0.19781,0.240052
RHOW,HYPERNETS,HYPERPRO,673,11,0.65±0.49,FALSE,-36.5583,44.127,-0.267712,0.306167
RHOW,HYPERNETS,HYPERPRO,700,11, NA± NA,NA,-19.4583,28.7577,-0.162888,0.247807
RHOW,HYPERNETS,PACE_V2,380,27,1.05±0.33,FALSE,-0.6295,10.1648,-0.006255,0.092269
RHOW,HYPERNETS,PACE_V2,400,27,0.96±0.28,FALSE,0.0427,6.9108,4.27e-4,0.06464
RHOW,HYPERNETS,PACE_V2,412,27,0.93±0.27,FALSE,-0.6503,7.0829,-0.006461,0.070829
RHOW,HYPERNETS,PACE_V2,443,27,0.86±0.27,FALSE,0.8957,6.9333,0.008957,0.06645
RHOW,HYPERNETS,PACE_V2,490,27,0.69±0.28,FALSE,4.0572,7.5773,0.040572,0.072707
RHOW,HYPERNETS,PACE_V2,510,27,-0.63±0.26,TRUE,3.7646,11.8737,0.037646,0.118737
RHOW,HYPERNETS,PACE_V2,560,27,-0.43±0.18,TRUE,-3.4688,18.8446,-0.033525,0.172192
RHOW,HYPERNETS,PACE_V2,620,24,0.30±0.13,TRUE,-162.0943,162.0943,-0.617916,0.617916
RHOW,HYPERNETS,PACE_V2,673,25,-0.20±0.08,TRUE,-161.7376,161.7376,-0.617938,0.617938
RHOW,HYPERNETS,PACE_V2,700,16,0.22±0.10,TRUE,-67.3601,84.4864,-0.402396,0.574798
RHOW,HYPERNETS,PACE_V30,380,31,1.72±0.49,TRUE,7.8582,21.3957,0.078582,0.213957
RHOW,HYPERNETS,PACE_V30,400,31,1.45±0.37,TRUE,4.6714,16.7883,0.046714,0.16699
RHOW,HYPERNETS,PACE_V30,412,31,1.37±0.33,TRUE,1.0523,13.9705,0.010523,0.139705
RHOW,HYPERNETS,PACE_V30,443,31,1.35±0.33,TRUE,-0.8974,8.9936,-0.008895,0.089936
RHOW,HYPERNETS,PACE_V30,490,31,1.63±0.51,TRUE,-6.0294,10.8557,-0.056865,0.105008
RHOW,HYPERNETS,PACE_V30,510,31,1.60±0.60,TRUE,-10.9978,13.8683,-0.099081,0.138683
RHOW,HYPERNETS,PACE_V30,560,31,0.94±0.35,FALSE,-29.2675,29.2675,-0.22641,0.22641
RHOW,HYPERNETS,PACE_V30,620,22,0.45±0.20,TRUE,-79.9486,79.9486,-0.44417,0.487768
RHOW,HYPERNETS,PACE_V30,673,19,0.19±0.10,TRUE,-232.3839,232.3839,-0.699143,0.699143
RHOW,HYPERNETS,PACE_V30,700,12,0.08±0.04,TRUE,-328.714,328.714,-0.764335,0.764335
RHOW,HYPERNETS,PACE_V31,380,32,1.35±0.46,FALSE,22.7325,29.7379,0.227383,0.249998
RHOW,HYPERNETS,PACE_V31,400,32,1.16±0.38,FALSE,16.635,20.1417,0.166372,0.183884
RHOW,HYPERNETS,PACE_V31,412,32,1.14±0.36,FALSE,11.4619,17.0097,0.114619,0.168369
RHOW,HYPERNETS,PACE_V31,443,32,1.09±0.37,FALSE,6.6854,13.5806,0.066855,0.135808
RHOW,HYPERNETS,PACE_V31,490,32,-1.14±0.42,TRUE,5.0169,13.2257,0.050179,0.132267
RHOW,HYPERNETS,PACE_V31,510,32,-1.05±0.37,TRUE,5.8524,19.3482,0.058536,0.178542
RHOW,HYPERNETS,PACE_V31,560,32,-0.67±0.24,TRUE,-3.6339,24.2422,-0.034539,0.229873
RHOW,HYPERNETS,PACE_V31,620,31,-0.58±0.22,TRUE,-19.4808,83.1617,-0.163046,0.579605
RHOW,HYPERNETS,PACE_V31,673,29,-0.34±0.13,TRUE,-52.2857,98.0222,-0.34334,0.575245
RHOW,HYPERNETS,PACE_V31,700,28,0.38±0.15,TRUE,-72.9966,153.2389,-0.419485,0.700106
RHOW,HYPERNETS,S3A,400,5,1.60±1.90,FALSE,8.5342,8.5342,0.085342,0.085342
RHOW,HYPERNETS,S3A,412,5,1.50±1.69,FALSE,4.3817,8.051,0.043817,0.074511
RHOW,HYPERNETS,S3A,442,5,1.45±1.62,FALSE,2.061,2.9523,0.02061,0.028676
RHOW,HYPERNETS,S3A,490,5,1.48±2.35,FALSE,-1.2852,4.7117000000000004,-0.012689,0.044997
RHOW,HYPERNETS,S3A,510,5,-1.35±2.49,TRUE,2.5741,5.5338,0.025741,0.052436
RHOW,HYPERNETS,S3A,560,5,-0.69±1.21,TRUE,-2.0643,9.8796,-0.020225,0.098796
RHOW,HYPERNETS,S3A,620,5,-0.62±1.01,TRUE,7.9769,13.3717,0.079769,0.133717
RHOW,HYPERNETS,S3A,665,5,-0.75±0.98,TRUE,-13.4307,59.0567,-0.118405,0.380518
RHOW,HYPERNETS,S3A,673,5,-0.65±1.15,TRUE,-13.1891,29.1459,-0.116523,0.291459
RHOW,HYPERNETS,S3A,681,5,-0.54±0.93,TRUE,-7.5563,7.5563,-0.070255,0.070255
RHOW,HYPERNETS,S3B,400,5,-1.13±1.50,TRUE,2.8602,2.8602,0.028602,0.028602
RHOW,HYPERNETS,S3B,412,5,-1.11±1.37,TRUE,-0.7455,2.1037,-0.007399,0.020604
RHOW,HYPERNETS,S3B,442,5,-1.29±1.32,TRUE,-1.247,2.6087,-0.012317,0.025424
RHOW,HYPERNETS,S3B,490,5,-2.04±1.72,TRUE,-7.2089,9.6988,-0.067242,0.088413
RHOW,HYPERNETS,S3B,510,5,-3.46±2.86,TRUE,-11.7495,16.7368,-0.105141,0.143372
RHOW,HYPERNETS,S3B,560,5,-5.69±5.69,TRUE,-22.5436,24.101,-0.183964,0.194205
RHOW,HYPERNETS,S3B,620,5,-11.93±17.18,TRUE,-110.5212,135.7642,-0.524989,0.575847
RHOW,HYPERNETS,S3B,665,4,-13.05±33.31,TRUE,-174.9391,973.1186,-0.301309,0.906422
RHOW,HYPERNETS,S3B,673,5,-13.34±18.77,TRUE,-248.2165,313.5186,-0.712822,0.758173
RHOW,HYPERNETS,S3B,681,5,-14.29±20.23,TRUE,-483.5103,600.0778,-0.828623,0.857159
RHOW,HYPERNETS,S3_all,400,10,1.43±1.16,FALSE,6.9682,7.8261,0.069795,0.075916
RHOW,HYPERNETS,S3_all,412,10,1.38±1.11,FALSE,2.9504,6.2005,0.029603,0.059164
RHOW,HYPERNETS,S3_all,442,10,1.45±1.19,FALSE,1.1137,2.7803,0.011181,0.02705
RHOW,HYPERNETS,S3_all,490,10,-1.99±1.46,TRUE,-2.1347,8.6204,-0.020867,0.079318
RHOW,HYPERNETS,S3_all,510,10,-3.19±1.93,TRUE,0.1808,13.3966,0.002087,0.126411
