var_name,sensor_X,sensor_Y,wavelength,n_w_nm_clean,Slope_II_CI,Slope_II_slope_bias_sig,Bias_50,Error_50,MRD_50,MARD_50
RHOW,HYPERNETS,S3_all,560,10,-5.01±3.22,TRUE,-4.3718,15.4451,-0.041647000000000003,0.152236
RHOW,HYPERNETS,S3_all,620,10,-9.11±6.93,TRUE,3.7916,51.9264,0.038728,0.513759
RHOW,HYPERNETS,S3_all,665,9,-10.62±8.79,TRUE,-13.4307,61.4253,-0.118405,0.469118
RHOW,HYPERNETS,S3_all,673,10,-10.64±7.84,TRUE,-36.7101,65.7875,-0.255449,0.396813
RHOW,HYPERNETS,S3_all,681,10,-11.41±8.40,TRUE,-39.1148,80.0719,-0.257246,0.444666
RHOW,HYPERNETS,TRIOS,380,56,0.98±0.14,FALSE,5.5384,6.8685,0.055386,0.066704
RHOW,HYPERNETS,TRIOS,400,56,0.93±0.13,FALSE,-0.8218,3.8713,-0.00815,0.037755
RHOW,HYPERNETS,TRIOS,412,56,0.93±0.12,FALSE,-1.0506,4.4525,-0.010397,0.042627
RHOW,HYPERNETS,TRIOS,443,56,0.89±0.13,FALSE,-0.2444,4.2832,-0.002438,0.041072
RHOW,HYPERNETS,TRIOS,490,56,0.70±0.13,TRUE,-0.8291,4.5334,-0.008222,0.043368
RHOW,HYPERNETS,TRIOS,510,56,0.56±0.11,TRUE,1.0186,6.206,0.010186,0.058422
RHOW,HYPERNETS,TRIOS,560,56,0.52±0.09,TRUE,-12.7237,15.0262,-0.112865,0.143834
RHOW,HYPERNETS,TRIOS,620,56,0.51±0.08,TRUE,-100.9769,100.9769,-0.502429,0.503541
RHOW,HYPERNETS,TRIOS,673,56,0.49±0.07,TRUE,-146.3516,146.3516,-0.593899,0.607142
RHOW,HYPERNETS,TRIOS,700,56,0.49±0.08,TRUE,-131.5374,141.9623,-0.568015,0.651993
RHOW,HYPERNETS,VIIRS_J1,411,23,1.08±0.23,FALSE,0.5332,6.628,0.005332,0.062185
RHOW,HYPERNETS,VIIRS_J1,445,23,1.00±0.25,FALSE,2.6091,5.7825,0.026091,0.055562
RHOW,HYPERNETS,VIIRS_J1,489,23,1.17±0.43,FALSE,1.1216,5.3506,0.011216,0.053506
RHOW,HYPERNETS,VIIRS_J1,556,23,0.79±0.34,FALSE,-0.6014,14.7144,-0.005978,0.147144
RHOW,HYPERNETS,VIIRS_J1,667,22,0.56±0.25,TRUE,-32.9504,96.22,-0.247742,0.500896
RHOW,HYPERNETS,VIIRS_J2,411,24,0.40±0.17,TRUE,-11.161,17.4862,-0.100404,0.150355
RHOW,HYPERNETS,VIIRS_J2,445,24,0.51±0.23,TRUE,-14.1597,15.1439,-0.124027,0.137157
RHOW,HYPERNETS,VIIRS_J2,489,24,-0.64±0.27,TRUE,-15.7884,16.0225,-0.136349,0.148856
RHOW,HYPERNETS,VIIRS_J2,556,24,-0.71±0.29,TRUE,-60.0033,60.0033,-0.375013,0.375013
RHOW,HYPERNETS,VIIRS_J2,667,15,-0.19±0.08,TRUE,-135.7071,135.7071,-0.575745,0.575745
RHOW,HYPERNETS,VIIRS_N,410,33,1.17±0.31,FALSE,3.4898,13.1584,0.034898,0.121256
RHOW,HYPERNETS,VIIRS_N,443,33,1.11±0.31,FALSE,0.0935,9.598,9.35e-4,0.087575
RHOW,HYPERNETS,VIIRS_N,486,33,1.21±0.43,FALSE,-3.1138,10.1247,-0.030197,0.091938
RHOW,HYPERNETS,VIIRS_N,551,33,-0.96±0.34,TRUE,-17.3935,18.6323,-0.148164,0.157059
RHOW,HYPERNETS,VIIRS_N,671,31,-0.42±0.16,TRUE,-149.7279,165.3803,-0.599564,0.623182
RHOW,HYPERPRO,AQUA,412,3,1.71±12.93,FALSE,-28.1167,28.1167,-0.219461,0.219461
RHOW,HYPERPRO,AQUA,443,3,1.55±9.33,FALSE,-20.514,20.514,-0.170221,0.170221
RHOW,HYPERPRO,AQUA,469,3,1.85±11.39,FALSE,-16.4796,16.4796,-0.14148,0.14148
RHOW,HYPERPRO,AQUA,488,3,2.25±15.97,FALSE,-16.9864,16.9864,-0.1452,0.1452
RHOW,HYPERPRO,AQUA,531,3,-4.98±0.25,TRUE,-32.0443,32.0443,-0.242678,0.242678
RHOW,HYPERPRO,AQUA,547,3,-4.36±11.32,TRUE,-21.6012,21.6012,-0.17764,0.17764
RHOW,HYPERPRO,AQUA,645,1, NA± NA,NA,NA,NA,NA,NA
RHOW,HYPERPRO,AQUA,667,2,-1.45± NA,NA,-292.5958,433.525,-0.296645,0.655613
RHOW,HYPERPRO,HYPERNETS,380,11,1.24±0.54,FALSE,-21.5912,21.5912,-0.177572,0.177572
RHOW,HYPERPRO,HYPERNETS,400,11,1.29±0.54,FALSE,-13.4204,13.4204,-0.118324,0.118324
RHOW,HYPERPRO,HYPERNETS,412,11,1.30±0.50,FALSE,-12.0266,12.0266,-0.107355,0.107355
RHOW,HYPERPRO,HYPERNETS,443,11,1.34±0.56,FALSE,-10.827,10.827,-0.097693,0.097693
RHOW,HYPERPRO,HYPERNETS,490,11,2.50±1.23,TRUE,-8.5635,8.5635,-0.07888,0.07888
RHOW,HYPERPRO,HYPERNETS,510,11,7.09±2.80,TRUE,-15.5182,15.5182,-0.134336,0.134336
RHOW,HYPERPRO,HYPERNETS,560,11,3.70±1.44,TRUE,-13.1028,13.1028,-0.115849,0.115849
RHOW,HYPERPRO,HYPERNETS,620,11, NA± NA,NA,-19.781,31.5879,-0.165143,0.240698
RHOW,HYPERPRO,HYPERNETS,673,11,1.54±1.16,FALSE,36.5583,44.127,0.365583,0.44127
RHOW,HYPERPRO,HYPERNETS,700,11, NA± NA,NA,19.4583,28.7577,0.194583,0.287577
RHOW,HYPERPRO,PACE_V2,380,5,1.16±2.07,FALSE,-13.2823,13.2823,-0.11725,0.11725
RHOW,HYPERPRO,PACE_V2,400,5,1.04±1.78,FALSE,0.3456,2.1464,0.003456,0.021464
RHOW,HYPERPRO,PACE_V2,412,5,1.03±1.77,FALSE,1.8505,4.3984,0.018505,0.043984
RHOW,HYPERPRO,PACE_V2,443,5,1.05±1.75,FALSE,3.0783,4.3747,0.030783,0.043747
RHOW,HYPERPRO,PACE_V2,490,5,-2.65±4.82,TRUE,1.7241,9.2844,0.017241,0.092844
RHOW,HYPERPRO,PACE_V2,510,5,-8.00±11.83,TRUE,-8.0513,9.7255,-0.074513,0.097255
RHOW,HYPERPRO,PACE_V2,560,5,-3.36±4.68,TRUE,-1.583,21.5465,-0.015583,0.209999
RHOW,HYPERPRO,PACE_V2,620,3, NA± NA,NA,-89.9395,89.9395,-0.473517,0.473517
RHOW,HYPERPRO,PACE_V2,673,3,-0.57±5.96,TRUE,0.8761,55.0555,0.008761,0.523606
RHOW,HYPERPRO,PACE_V2,700,2, NA± NA,NA,-63.3554,63.3554,-0.346428,0.346428
RHOW,HYPERPRO,PACE_V30,380,4,1.65±4.99,FALSE,-5.2736,5.53,-0.049951,0.053053
RHOW,HYPERPRO,PACE_V30,400,4,1.48±4.32,FALSE,0.6788,5.1829,0.007102,0.052014
RHOW,HYPERPRO,PACE_V30,412,4,1.50±4.25,FALSE,-3.8337,7.0219,-0.035814,0.066723
RHOW,HYPERPRO,PACE_V30,443,4,1.52±4.20,FALSE,-5.2859,6.4539,-0.048987,0.060152
RHOW,HYPERPRO,PACE_V30,490,4,-3.15±9.55,TRUE,-4.1307,6.5553,-0.038811,0.062327
RHOW,HYPERPRO,PACE_V30,510,4,-8.97±22.87,TRUE,-11.0259,11.0259,-0.099265,0.099265
RHOW,HYPERPRO,PACE_V30,560,4,4.29±12.85,FALSE,-7.9168,7.9168,-0.073298,0.073298
RHOW,HYPERPRO,PACE_V30,620,3, NA± NA,NA,-13.8756,13.8756,-0.121849,0.121849
RHOW,HYPERPRO,PACE_V30,673,2,-0.31± NA,NA,-30.4763,63.3571,-0.139412,0.391418
RHOW,HYPERPRO,PACE_V30,700,1, NA± NA,NA,NA,NA,NA,NA
RHOW,HYPERPRO,PACE_V31,380,5,1.73±3.16,FALSE,6.5607,8.0157,0.065607,0.080157
RHOW,HYPERPRO,PACE_V31,400,5,1.58±2.78,FALSE,10.7947,11.3784,0.107947,0.113784
RHOW,HYPERPRO,PACE_V31,412,5,1.62±2.78,FALSE,8.2863,8.4469,0.082863,0.084469
RHOW,HYPERPRO,PACE_V31,443,5,1.67±2.82,FALSE,4.7729,5.3646,0.047729,0.053646
RHOW,HYPERPRO,PACE_V31,490,5,-3.69±6.75,TRUE,6.2162,7.6303,0.062162,0.076303
RHOW,HYPERPRO,PACE_V31,510,5,-9.79±14.61,TRUE,1.0167,1.8789,0.010167,0.018789
RHOW,HYPERPRO,PACE_V31,560,5,-4.38±7.99,TRUE,3.9741,6.1867,0.039741,0.061867
RHOW,HYPERPRO,PACE_V31,620,5, NA± NA,NA,7.0493,35.1999,0.070493,0.351999
RHOW,HYPERPRO,PACE_V31,673,4,-1.65±2.00,TRUE,48.272,128.259,0.711386,1.036758
RHOW,HYPERPRO,PACE_V31,700,4, NA± NA,NA,8.6166,52.7374,0.087531,0.375998
RHOW,HYPERPRO,S3A,400,3,1.83±0.44,TRUE,2.5044,4.4075,0.025044,0.044075
RHOW,HYPERPRO,S3A,412,3,1.68±0.72,TRUE,1.5549,3.0447,0.015549,0.030447
RHOW,HYPERPRO,S3A,442,3,1.58±0.02,TRUE,0.3416,3.2671,0.003416,0.032671
RHOW,HYPERPRO,S3A,490,3,2.20±4.79,FALSE,-1.8594,2.5032,-0.018254,0.025032
RHOW,HYPERPRO,S3A,510,3,5.03±62.15,FALSE,-8.5914,8.5914,-0.079117,0.079117
RHOW,HYPERPRO,S3A,560,3,-0.66±5.53,TRUE,-12.4995,12.4995,-0.111107,0.111107
RHOW,HYPERPRO,S3A,620,3, NA± NA,NA,-31.5638,31.5638,-0.239912,0.239912
RHOW,HYPERPRO,S3A,665,3,2.45±31.05,FALSE,-61.9614,61.9614,-0.382569,0.382569
RHOW,HYPERPRO,S3A,673,3,-0.25±1.37,TRUE,-83.5707,83.5707,-0.455251,0.455251
RHOW,HYPERPRO,S3A,681,3,-0.38±4.33,TRUE,-47.8298,47.8298,-0.323546,0.323546
RHOW,HYPERPRO,S3B,400,2,-3.31± NA,NA,20.644,20.644,0.226401,0.226401
RHOW,HYPERPRO,S3B,412,2,-3.38± NA,NA,18.1609,19.4247,0.200276,0.210858
RHOW,HYPERPRO,S3B,442,2,-4.26± NA,NA,17.2555,18.5854,0.189633,0.200847
RHOW,HYPERPRO,S3B,490,2,-10.76± NA,NA,19.6884,23.6952,0.224047,0.25644
RHOW,HYPERPRO,S3B,510,2,-27.66± NA,NA,22.652,40.7079,0.298744,0.427066
RHOW,HYPERPRO,S3B,560,2,-38.82± NA,NA,43.4193,74.7867,0.663659,0.84312
RHOW,HYPERPRO,S3B,620,2, NA± NA,NA,68.6105,264.926,2.307538,2.845498
RHOW,HYPERPRO,S3B,665,2,-28.96± NA,NA,-2.0135,807.4008,3.501468,4.393438
RHOW,HYPERPRO,S3B,673,2,-39.74± NA,NA,101.6066,546.1242,5.669158,6.357133
RHOW,HYPERPRO,S3B,681,2, NA± NA,NA,60.9713,674.5936,5.338273,6.13046
RHOW,HYPERPRO,S3_all,400,5,2.51±3.44,FALSE,2.5044,4.4075,0.025044,0.044075
RHOW,HYPERPRO,S3_all,412,5,2.33±3.14,FALSE,1.5549,3.0447,0.015549,0.030447
RHOW,HYPERPRO,S3_all,442,5,2.41±3.42,FALSE,0.3416,3.2671,0.003416,0.032671
RHOW,HYPERPRO,S3_all,490,5,5.44±9.39,TRUE,-1.8594,3.3477,-0.018254,0.032393
RHOW,HYPERPRO,S3_all,510,5,-24.79±41.19,TRUE,-8.5914,14.7212,-0.079117,0.128322
RHOW,HYPERPRO,S3_all,560,5,-23.63±35.58,TRUE,-12.4995,21.0678,-0.111107,0.174016
RHOW,HYPERPRO,S3_all,620,5, NA± NA,NA,-31.5638,32.6093,-0.239912,0.245905
RHOW,HYPERPRO,S3_all,665,5,-28.37±14.78,TRUE,-61.9614,103.2105,-0.382569,0.507899
RHOW,HYPERPRO,S3_all,673,5,-10.77±16.97,TRUE,-83.5707,106.818,-0.455251,0.516483
RHOW,HYPERPRO,S3_all,681,5,-15.32±26.07,TRUE,-47.8298,90.3354,-0.323546,0.474612
RHOW,HYPERPRO,TRIOS,380,12,1.13±0.45,FALSE,-6.4189,7.3462,-0.060317,0.068424
RHOW,HYPERPRO,TRIOS,400,12,1.10±0.46,FALSE,-4.6811,5.4182,-0.044716,0.051385
RHOW,HYPERPRO,TRIOS,412,12,1.10±0.47,FALSE,-3.5109,4.5429,-0.033916,0.043435
RHOW,HYPERPRO,TRIOS,443,12,1.01±0.50,FALSE,-3.1773,3.6917,-0.030789,0.035602
RHOW,HYPERPRO,TRIOS,490,12,0.77±0.52,FALSE,-1.1684,3.0264,-0.011537,0.029375
RHOW,HYPERPRO,TRIOS,510,12,-0.54±0.37,TRUE,-5.5683,6.2064,-0.052738,0.058437
RHOW,HYPERPRO,TRIOS,560,12,-0.71±0.49,TRUE,-16.7033,16.7033,-0.143123,0.143123
RHOW,HYPERPRO,TRIOS,620,12,0.97±0.35,FALSE,-152.5909,152.5909,-0.604092,0.604092
RHOW,HYPERPRO,TRIOS,673,12,0.73±0.33,FALSE,-217.1006,217.1006,-0.683911,0.683911
RHOW,HYPERPRO,TRIOS,700,12,0.69±0.15,TRUE,-250.0472,250.0472,-0.713172,0.713172
RHOW,HYPERPRO,VIIRS_J1,411,3,0.74±0.60,FALSE,-24.2891,24.2891,-0.195425,0.195425
RHOW,HYPERPRO,VIIRS_J1,445,3,0.82±0.51,FALSE,-12.0208,12.0208,-0.107308,0.107308
RHOW,HYPERPRO,VIIRS_J1,489,3,1.93±19.11,FALSE,-3.5108,3.5108,-0.033917,0.033917
RHOW,HYPERPRO,VIIRS_J1,556,3,8.69±109.32,FALSE,-1.6454,22.659300000000002,-0.016188,0.226593
RHOW,HYPERPRO,VIIRS_J1,667,3,7.21±91.09,FALSE,-218.1955,218.1955,-0.685728,0.685728
RHOW,HYPERPRO,VIIRS_J2,411,5,1.03±1.66,FALSE,-0.9731,0.9731,-0.009637,0.009637
RHOW,HYPERPRO,VIIRS_J2,445,5,0.87±1.56,FALSE,-4.3758,4.3758,-0.041924,0.041924
RHOW,HYPERPRO,VIIRS_J2,489,5,-1.00±1.84,TRUE,-5.0972,5.0972,-0.0485,0.0485
RHOW,HYPERPRO,VIIRS_J2,556,5,-3.42±6.20,TRUE,-25.1683,25.1683,-0.201076,0.201076
RHOW,HYPERPRO,VIIRS_J2,667,4,0.77±1.01,FALSE,-122.777,122.777,-0.540023,0.540023
RHOW,HYPERPRO,VIIRS_N,410,4,1.17±3.00,FALSE,-9.38,14.8637,-0.081016,0.131861
RHOW,HYPERPRO,VIIRS_N,443,4,1.18±2.88,FALSE,-6.934,11.0748,-0.062548,0.101906
RHOW,HYPERPRO,VIIRS_N,486,4,1.70±4.62,FALSE,-4.8186,9.2818,-0.042773,0.085378
RHOW,HYPERPRO,VIIRS_N,551,4,7.08±15.72,TRUE,-16.6255,17.914,-0.141661,0.159894
RHOW,HYPERPRO,VIIRS_N,671,4,0.80±2.41,FALSE,-35.8179,35.8179,-0.263606,0.263606
RHOW,TRIOS,AQUA,412,25,1.70±0.25,TRUE,-2.7571,5.4546,-0.026831,0.052439
RHOW,TRIOS,AQUA,443,27,1.53±0.23,TRUE,-5.1369,5.1369,-0.048859,0.048859
RHOW,TRIOS,AQUA,469,27,1.66±0.33,TRUE,-4.9209,4.9268,-0.046901,0.046954
RHOW,TRIOS,AQUA,488,27,1.68±0.44,TRUE,-7.4939,7.4939,-0.069715,0.069715
RHOW,TRIOS,AQUA,531,27,1.43±0.58,FALSE,-14.6496,14.6496,-0.127777,0.140788
RHOW,TRIOS,AQUA,547,27,1.30±0.53,FALSE,-4.402,15.2843,-0.042164,0.132579
RHOW,TRIOS,AQUA,645,14,-0.67±0.42,TRUE,-35.7518,50.8673,-0.262522,0.394686
RHOW,TRIOS,AQUA,667,15,0.72±0.41,FALSE,-22.4736,59.7157,-0.183497,0.373888
RHOW,TRIOS,HYPERNETS,380,56,1.03±0.15,FALSE,-5.5384,6.8685,-0.052476,0.064269
RHOW,TRIOS,HYPERNETS,400,56,1.08±0.15,FALSE,0.8218,3.8713,0.008218,0.038008
RHOW,TRIOS,HYPERNETS,412,56,1.08±0.14,FALSE,1.0506,4.4525,0.010506,0.044525
RHOW,TRIOS,HYPERNETS,443,56,1.12±0.16,FALSE,0.2444,4.2832,0.002444,0.042832
RHOW,TRIOS,HYPERNETS,490,56,1.43±0.26,TRUE,0.8291,4.5334,0.008291,0.045334
RHOW,TRIOS,HYPERNETS,510,56,1.78±0.35,TRUE,-1.0186,6.206,-0.010083,0.062074
RHOW,TRIOS,HYPERNETS,560,56,1.93±0.33,TRUE,12.7237,15.0262,0.12725,0.139622
RHOW,TRIOS,HYPERNETS,620,56,1.96±0.29,TRUE,100.9769,100.9769,1.009774,1.009774
RHOW,TRIOS,HYPERNETS,673,56,2.04±0.30,TRUE,146.3516,146.3516,1.464589,1.464589
RHOW,TRIOS,HYPERNETS,700,56,2.06±0.32,TRUE,131.5374,141.9623,1.315853,1.315853
RHOW,TRIOS,HYPERPRO,380,12,0.89±0.35,FALSE,6.4189,7.3462,0.064189,0.073475
RHOW,TRIOS,HYPERPRO,400,12,0.91±0.38,FALSE,4.6811,5.4182,0.046812,0.054196
RHOW,TRIOS,HYPERPRO,412,12,0.91±0.39,FALSE,3.5109,4.5429,0.035112,0.045451
RHOW,TRIOS,HYPERPRO,443,12,0.99±0.49,FALSE,3.1773,3.6917,0.031778,0.036917
RHOW,TRIOS,HYPERPRO,490,12,1.31±0.89,FALSE,1.1684,3.0264,0.011697,0.030264
RHOW,TRIOS,HYPERPRO,510,12,-1.86±1.29,TRUE,5.5683,6.2064,0.055692,0.062065
RHOW,TRIOS,HYPERPRO,560,12,-1.40±0.97,TRUE,16.7033,16.7033,0.167037,0.167037
RHOW,TRIOS,HYPERPRO,620,12,1.03±0.37,FALSE,152.5909,152.5909,1.525976,1.525976
RHOW,TRIOS,HYPERPRO,673,12,1.37±0.61,FALSE,217.1006,217.1006,2.178363,2.178363
RHOW,TRIOS,HYPERPRO,700,12,1.45±0.32,TRUE,250.0472,250.0472,2.514594,2.514594
RHOW,TRIOS,PACE_V2,380,31,1.10±0.26,FALSE,-5.12,6.1312,-0.048706,0.05777
RHOW,TRIOS,PACE_V2,400,31,1.03±0.21,FALSE,0.9741,4.8896,0.009741,0.046617
RHOW,TRIOS,PACE_V2,412,31,1.01±0.20,FALSE,0.727,4.1152,0.00727,0.039525
RHOW,TRIOS,PACE_V2,443,31,0.98±0.18,FALSE,1.5946,3.7174,0.015946,0.035842
RHOW,TRIOS,PACE_V2,490,31,1.23±0.37,FALSE,4.8076,5.803,0.048076,0.05803
RHOW,TRIOS,PACE_V2,510,31,1.78±0.67,TRUE,3.1968,8.1904,0.031968,0.080207
RHOW,TRIOS,PACE_V2,560,31,-1.21±0.45,TRUE,13.2909,20.3944,0.132909,0.191288
RHOW,TRIOS,PACE_V2,620,25,0.78±0.33,FALSE,-19.0892,77.7571,-0.160294,0.534192
RHOW,TRIOS,PACE_V2,673,26,-0.55±0.23,TRUE,-5.6208,172.8122,-0.050762,0.756531
RHOW,TRIOS,PACE_V2,700,17,0.61±0.29,TRUE,12.761,89.4241,0.12761,0.648727
RHOW,TRIOS,PACE_V30,380,36,1.54±0.43,TRUE,1.944,15.5916,0.019441,0.142964
RHOW,TRIOS,PACE_V30,400,36,1.38±0.35,TRUE,5.3731,13.2012,0.053732,0.126327
RHOW,TRIOS,PACE_V30,412,36,1.32±0.32,TRUE,2.5091,11.5755,0.025095,0.107361
RHOW,TRIOS,PACE_V30,443,36,1.32±0.31,TRUE,-0.1317,5.7381,-0.001312,0.057381
RHOW,TRIOS,PACE_V30,490,36,1.89±0.53,TRUE,-3.0538,6.7658,-0.02963,0.065427
RHOW,TRIOS,PACE_V30,510,36,2.53±0.86,TRUE,-12.8666,12.8666,-0.113927,0.113927
RHOW,TRIOS,PACE_V30,560,36,-1.57±0.55,TRUE,-17.4796,20.8442,-0.148757,0.208498
RHOW,TRIOS,PACE_V30,620,24,0.96±0.42,FALSE,2.8283,93.371,0.030422,0.503225
RHOW,TRIOS,PACE_V30,673,19,0.42±0.22,TRUE,-31.7871,152.4536,-0.241201,0.635119
RHOW,TRIOS,PACE_V30,700,10,0.21±0.12,TRUE,-108.9949,203.2145,-0.521518,0.733173
RHOW,TRIOS,PACE_V31,380,37,1.26±0.37,FALSE,17.4532,19.8288,0.174532,0.198288
RHOW,TRIOS,PACE_V31,400,37,1.13±0.29,FALSE,17.9537,19.5289,0.179537,0.189161
RHOW,TRIOS,PACE_V31,412,37,1.12±0.28,FALSE,12.7909,15.7627,0.127909,0.155835
RHOW,TRIOS,PACE_V31,443,37,1.13±0.29,FALSE,7.388,11.0987,0.07388,0.110987
RHOW,TRIOS,PACE_V31,490,37,1.70±0.55,TRUE,7.0085,11.1804,0.070085,0.100561
RHOW,TRIOS,PACE_V31,510,37,-2.25±0.77,TRUE,7.3498,13.7502,0.073498,0.126391
RHOW,TRIOS,PACE_V31,560,37,-1.50±0.51,TRUE,14.4168,25.4881,0.144168,0.224685
RHOW,TRIOS,PACE_V31,620,37,-1.19±0.39,TRUE,75.7145,131.1107,0.757145,0.846858
RHOW,TRIOS,PACE_V31,673,33,-0.91±0.33,TRUE,77.2811,104.1743,0.772811,0.893004
RHOW,TRIOS,PACE_V31,700,30,1.12±0.41,FALSE,50.6299,117.2836,0.506322,0.638627
RHOW,TRIOS,S3A,400,3,2.40±2.02,TRUE,16.633,16.633,0.16633,0.16633
RHOW,TRIOS,S3A,412,3,1.99±1.75,FALSE,10.6962,12.354,0.106962,0.12354
RHOW,TRIOS,S3A,442,3,1.67±0.37,TRUE,7.1019,7.8142,0.071019,0.078142
RHOW,TRIOS,S3A,490,3,1.99±2.90,FALSE,4.524,4.6548,0.04524,0.046548
RHOW,TRIOS,S3A,510,3,3.12±20.53,FALSE,1.5494,6.3421,0.015494,0.063421
RHOW,TRIOS,S3A,560,3,1.56±11.05,FALSE,5.8435,5.8435,0.058435,0.058435
RHOW,TRIOS,S3A,620,3,0.99±4.90,FALSE,48.3761,48.3761,0.483761,0.483761
RHOW,TRIOS,S3A,665,3,1.40±2.72,FALSE,66.9626,66.9626,0.669626,0.669626
RHOW,TRIOS,S3A,673,3,0.76±2.45,FALSE,40.7927,40.7927,0.407927,0.407927
RHOW,TRIOS,S3A,681,3,0.80±0.16,TRUE,37.3267,37.3267,0.373267,0.373267
RHOW,TRIOS,S3B,400,10,-3.01±2.08,TRUE,15.6149,15.6149,0.156247,0.156247
RHOW,TRIOS,S3B,412,10,-2.93±2.05,TRUE,11.1988,11.1988,0.112212,0.112212
RHOW,TRIOS,S3B,442,10,-2.89±2.18,TRUE,9.9835,9.9835,0.10073,0.10073
RHOW,TRIOS,S3B,490,10,-3.90±3.14,TRUE,6.7502,6.9786,0.068899,0.070902
RHOW,TRIOS,S3B,510,10,-9.31±7.38,TRUE,-0.185,8.1857,-0.001653,0.075654
RHOW,TRIOS,S3B,560,10,-8.03±6.39,TRUE,-2.1949,11.5916,-0.02139,0.103159
RHOW,TRIOS,S3B,620,10,-4.74±3.82,TRUE,14.7232,100.7226,0.148998,0.467812
RHOW,TRIOS,S3B,665,9,-4.59±4.01,TRUE,-134.4124,514.121,-0.573401,0.837166
RHOW,TRIOS,S3B,673,10,-4.34±3.51,TRUE,1.2079,272.0404,0.013527,0.718283
RHOW,TRIOS,S3B,681,10,-4.38±3.54,TRUE,-68.6734,519.883,-0.400738,0.837576
RHOW,TRIOS,S3_all,400,13,2.73±1.73,TRUE,16.633,16.633,0.16633,0.16633
RHOW,TRIOS,S3_all,412,13,2.54±1.60,TRUE,10.6962,12.354,0.106962,0.12354
RHOW,TRIOS,S3_all,442,13,2.53±1.63,TRUE,7.1019,7.8142,0.071019,0.078142
RHOW,TRIOS,S3_all,490,13,3.78±2.51,TRUE,4.524,4.6548,0.04524,0.046548
RHOW,TRIOS,S3_all,510,13,-8.93±5.83,TRUE,1.5494,7.6994,0.015494,0.07149
RHOW,TRIOS,S3_all,560,13,-7.97±5.22,TRUE,-0.8357,7.2175,-0.008288,0.067317
RHOW,TRIOS,S3_all,620,13,-4.68±3.10,TRUE,24.7208,48.3761,0.247208,0.483761
RHOW,TRIOS,S3_all,665,12,-4.54±3.18,TRUE,32.4876,179.8128,0.355783,0.761397
RHOW,TRIOS,S3_all,673,13,-4.34±2.87,TRUE,26.4081,133.0431,0.264081,0.633917
RHOW,TRIOS,S3_all,681,13,-4.38±2.90,TRUE,-1.6012,135.9689,-0.015759,0.766629
RHOW,TRIOS,VIIRS_J1,411,26,1.05±0.20,FALSE,2.3141,6.975,0.023143,0.067937
RHOW,TRIOS,VIIRS_J1,445,27,1.02±0.21,FALSE,3.1025,5.5,0.031025,0.055
RHOW,TRIOS,VIIRS_J1,489,27,1.45±0.41,TRUE,4.044,6.4741,0.04044,0.060804
RHOW,TRIOS,VIIRS_J1,556,27,1.16±0.46,FALSE,17.6689,17.6689,0.176689,0.176689
RHOW,TRIOS,VIIRS_J1,667,25,1.05±0.44,FALSE,78.4264,123.0455,0.784264,0.988823
RHOW,TRIOS,VIIRS_J2,411,29,0.75±0.28,FALSE,-10.5719,10.5719,-0.095611,0.095611
RHOW,TRIOS,VIIRS_J2,445,32,0.96±0.34,FALSE,-13.2832,13.2832,-0.117243,0.117243
RHOW,TRIOS,VIIRS_J2,489,32,-1.38±0.52,TRUE,-12.6579,12.6579,-0.112333,0.112333
RHOW,TRIOS,VIIRS_J2,556,32,-1.64±0.59,TRUE,-32.2454,32.2454,-0.243806,0.243806
RHOW,TRIOS,VIIRS_J2,667,20,-0.50±0.21,TRUE,15.8805,214.0393,0.282194,0.933722
RHOW,TRIOS,VIIRS_N,410,36,1.22±0.26,FALSE,5.3741,11.1527,0.053742,0.105595
RHOW,TRIOS,VIIRS_N,443,39,1.17±0.27,FALSE,3.3693,8.9426,0.033693,0.084741
RHOW,TRIOS,VIIRS_N,486,39,1.58±0.48,TRUE,2.1386,9.3829,0.021386,0.090343
RHOW,TRIOS,VIIRS_N,551,39,-1.80±0.59,TRUE,-3.9715,15.1696,-0.038198,0.14173
RHOW,TRIOS,VIIRS_N,671,34,-1.13±0.39,TRUE,14.5121,90.3153,0.145487,0.696138
